,Location,lat,lng
0,"Saint Croix Falls, WI",45.40996,-92.63965
1,"Aurora, MO",36.9673,-93.7184
2,"Saginaw, AL",33.21623,-86.79193
3,"King, NC",36.2769,-80.3566
4,"Pope, MS",34.2158,-89.9447
5,"Palmerton, PA",40.8023,-75.616
6,"Medley, FL",25.8647,-80.3516
7,"Carrollton, KY",38.6799,-85.1658
8,"Alachua, FL",29.7779,-82.4832
9,"Matteson, IL",41.5095,-87.7468
10,"Waycross, GA",31.2108,-82.3579
11,"Strasburg, VA",38.9961,-78.3549
12,"Sevierville, TN",35.8872,-83.5678
13,"Ravenswood, WV",38.9561,-81.7619
14,"Pleasant Prairie, WI",42.5266,-87.8895
15,"Plainview, MN",44.1648,-92.1697
16,"Desloge, MO",37.8751,-90.5191
17,"MT PLEASANT, WI",43.01555,-89.16261
18,"Andover, MN",45.2571,-93.3265
19,"Keokuk, IA",40.4095,-91.4031
20,"Fuquay Varina, NC",35.58432,-78.80001
21,"Brooklet, GA",32.3897,-81.6668
22,"Marion, AR",35.2035,-90.2059
23,"Sioux City, IA",42.4959,-96.3901
24,"West Harrison, IN",39.2581,-84.8225
25,"Ayer, MA",42.5612,-71.58979
26,"High Hill, MO",38.8754,-91.3776
27,"Star City, WV",39.6587,-79.9868
28,"Pandora, OH",40.9474,-83.9567
29,"Rock Island, IL",41.4699,-90.5827
30,"Sparta, KY",38.6969,-84.9074
31,"River Forest, IL",41.895,-87.8194
32,"Bonner Springs, KS",39.0817,-94.8776
33,"Milford, CT",41.22232,-73.0565
34,"Mindoro, WI",44.0202,-91.1019
35,"Natrona Heights, PA",40.6234,-79.72977
36,"North Sioux City, SD",42.535,-96.4998
37,"Fredonia, NY",42.4407,-79.3319
38,"Bangor, ME",44.8323,-68.7906
39,"Andersonville, GA",32.1965,-84.1454
40,"Aransas Pass, TX",27.8876,-97.1136
41,"Maryland Heights, MO",38.7189,-90.4749
42,"SOUTHGATE, CA",44.0834,-80.583
43,"North Richland Hills, TX",32.8604,-97.218
44,"Ladson, SC",33.0093,-80.1078
45,"Lancaster, NY",42.90061,-78.67031
46,"Saint Albans, WV",38.38565,-81.83624
47,"Conrad, MT",48.1741,-111.9467
48,"Hillsdale, MI",41.9267,-84.6356
49,"Cary, NC",35.7819,-78.8195
50,"Clewiston, FL",26.7529,-80.9399
51,"Violet, LA",29.8962,-89.892
52,"Ixonia, WI",43.1396,-88.5963
53,"Harvey, IL",41.6076,-87.652
54,"French Camp, CA",37.8803,-121.2803
55,"Santa Cruz, CA",36.9789,-122.0346
56,"New Boston, MI",42.3751,-71.10561
57,"Monmouth, ME",44.23868,-70.03561
58,"Waverly, IA",42.725,-92.4708
59,"Elizabethtown, NC",34.6219,-78.6074
60,"Sylva, NC",35.3754,-83.2185
61,"Clackamas, OR",45.42067,-122.67065
62,"Leicester, NY",42.77201,-77.89667
63,"Hollsopple, PA",40.21258,-78.92891
64,"Del Rio, TX",29.3708,-100.8801
65,"Dahlonega, GA",34.5311,-83.9804
66,"Woodhaven, MI",42.132,-83.2374
67,"Chavies, KY",37.34787,-83.35629
68,"Walnut, CA",34.0334,-117.8593
69,"Lawrenceville, VA",36.7565,-77.8539
70,"Mountain View, AR",35.8635,-92.1041
71,"Tremont, PA",40.6302,-76.3912
72,"Harriman, NY",41.3088,-74.1445
73,"Sherburne, NY",42.67813,-75.49851
74,"Maplesville, AL",32.7867,-86.8783
75,"Bar Harbor, ME",44.44924,-68.36196
76,"Plainfield, CT",41.67649,-71.91507
77,"Hanover, MD",39.19289,-76.72414
78,"Meridian, ID",43.6116,-116.3977
79,"Schneider, IN",41.1921,-87.4454
80,"Wellsburg, WV",40.281,-80.6102
81,"Rockland, MA",42.13066,-70.91616
82,"Starksboro, VT",44.22728,-73.05734
83,"New Berlin, WI",42.9726,-88.1291
84,"Manitowish Waters, WI",46.12163,-89.87989
85,"Potomac, MT",46.8813,-113.5751
86,"Logan township, NJ",39.79232,-75.35593
87,"Peyton, CO",39.02888,-104.48302
88,"London, KY",37.1175,-84.0767
89,"Alexandria, KY",38.9621,-84.3859
90,"Salem, VA",37.2864,-80.0555
91,"Dexter, MO",36.7928,-89.9632
92,"Detroit, MI",42.3834,-83.1024
93,"Brimfield, OH",41.0941,-81.3482
94,"Fraser, MI",42.5388,-82.9496
95,"La Ward, TX",28.8465,-96.4649
96,"Blossburg, PA",41.6795,-77.069
97,"Cedar Lake, MI",41.40149,-72.49943
98,"Adairsville, GA",34.3709,-84.9212
99,"Chicago Heights, IL",41.51,-87.6345
100,"Junction City, OR",44.2068,-123.2102
101,"Fort Mill, SC",35.0061,-80.9389
102,"Owatonna, MN",44.0912,-93.2312
103,"Lyon, MS",34.2169,-90.543
104,"Mooresville, IN",39.6022,-86.3681
105,"North Venice, FL",27.09978,-82.45426
106,"Montgomery, IN",38.6655,-87.0493
107,"Avilla, IN",41.3637,-85.2317
108,"Rensselaer, NY",42.6465,-73.7328
109,"Collinsville, OK",36.3723,-95.8609
110,"Palos Hills, IL",41.6986,-87.8266
111,"Crossville, TN",35.9526,-85.0295
112,"Springfield, NH",43.29841,-72.48231
113,"Lexington, OH",40.68,-82.5793
114,"Moreno Valley, CA",33.9244,-117.2045
115,"Andover, NJ",40.98593,-74.74211
116,"Harrison Township, MI",40.52888,-94.15495
117,"Bacliff, TX",29.5085,-94.9888
118,"Allenstown, NH",43.13806,-71.38202
119,"Farmington, MO",37.7822,-90.4282
120,"Pajaro, CA",36.9017,-121.7417
121,"Flora, IL",38.6688,-88.4758
122,"Bowling Green, FL",27.638,-81.8244
123,"Warrenton, MO",38.8187,-91.1385
124,"Gardner, KS",38.8122,-94.9275
125,"Princeton, NC",35.4671,-78.1613
126,"Riverside, CA",33.9381,-117.3949
127,"Crab Orchard, KY",37.4627,-84.5067
128,"Convoy, OH",40.9174,-84.705
129,"Oakdale, CA",37.7618,-120.8468
130,"Ghent, NY",42.32925,-73.61567
131,"Greenfield, IN",39.7937,-85.7738
132,"Lebanon, ME",43.39453,-70.85089
133,"Spring, TX",30.0613,-95.383
134,"Jamesburg, NJ",40.3493,-74.4399
135,"Taylor, PA",41.3958,-75.7147
136,"Gold river, CA",38.62629,-121.24662
137,"Columbus, NE",41.4366,-97.3565
138,"Clanton, AL",32.8444,-86.6233
139,"Carmel, IN",39.965,-86.146
140,"Boylston, MA",42.36676,-71.78563
141,"Berryville, AR",36.371,-93.5704
142,"Montesano, WA",47.0102,-123.5857
143,"Marshfield, WI",44.6627,-90.1728
144,"Glendale, AZ",33.5791,-112.2311
145,"Friendly, WV",39.5137,-81.0618
146,"Tyngsboro, MA",42.67676,-71.42451
147,"Mountain Home, ID",43.1324,-115.697
148,"Frisco, TX",33.156,-96.8216
149,"Williamston, NC",35.8465,-77.0661
150,"Lisle, IL",41.7918,-88.0888
151,"Eaton Rapids, MI",42.5091,-84.6531
152,"Cicero, IL",41.8445,-87.7593
153,"Wapakoneta, OH",40.5664,-84.1916
154,"Cottondale, AL",33.1923,-87.4543
155,"Enid, OK",36.4063,-97.87
156,"Coopersville, MI",43.0658,-85.9341
157,"Kingstree, SC",33.6665,-79.8292
158,"Killeen, TX",31.0753,-97.7297
159,"Grayville, IL",38.2554,-87.997
160,"Atkins, AR",35.2414,-92.9465
161,"Lake Isabella, CA",35.6378,-118.482
162,"Redondo Beach, CA",33.8577,-118.3765
163,"Dryden, MI",42.9456,-83.124
164,"Reisterstown, MD",39.455,-76.814
165,"Clearwater, FL",27.979,-82.7623
166,"Rohnert Park, CA",38.3479,-122.6965
167,"Pollock, SD",45.9005,-100.2885
168,"Ottawa, IL",41.3555,-88.8261
169,"Jefferson City, MO",38.5676,-92.1759
170,"Seabrook, NH",42.89481,-70.87116
171,"Auburndale, FL",28.0963,-81.8012
172,"Sterling Heights, MI",42.5809,-83.0305
173,"Kirtland, NM",36.7502,-108.3588
174,"Crivitz, WI",45.2337,-88.0067
175,"Traverse City, MI",44.7546,-85.6038
176,"Burns, TN",36.0508,-87.2984
177,"Fort Stockton, TX",30.8926,-102.8842
178,"Hodgdon, ME",46.05394,-67.86668
179,"Schiller Park, IL",41.9586,-87.8693
180,"Waynesboro, GA",33.0909,-82.0145
181,"Vance, AL",33.1746,-87.2314
182,"Platteville, CO",40.222,-104.834
183,"North East, PA",34.60739,-86.97977
184,"Conneaut, OH",41.9275,-80.5685
185,"Westfield, WI",43.8851,-89.4926
